Cumulative,Cumulative Test positive,Cumulative tests performed,Date,Discharged,Expired,Home Quarantine,New (last 24 hrs),Region,Still admitted,Tests performed in last 24 hours,Positivity Rate (%),Case Fatality Rate (%)
9589,932,9589,2020-04-07,253,17,375.0,658,Sindh,287,658.0,9.71947022630097,1.8240343347639485
484,18,484,2020-04-07,1,0,0.0,84,AJK,17,84.0,3.71900826446281,0.0
3456,202,2998,2020-04-07,63,1,51.0,371,Balochistan,87,221.0,6.737825216811208,0.49504950495049505
1111,211,1015,2020-04-07,15,3,179.0,49,GB,14,17.0,20.788177339901477,1.4218009478672986
2921,83,2921,2020-04-07,3,1,62.0,50,ICT,17,50.0,2.841492639507018,1.2048192771084338
3016,500,2103,2020-04-07,69,17,276.0,134,KP,138,129.0,23.775558725630052,3.4000000000000004
9386,1918,20073,2020-04-07,25,15,1127.0,704,Punjab,751,1929.0,9.555123798136801,0.7820646506777894
10223,986,10223,2020-04-08,269,18,396.0,634,Sindh,303,634.0,9.644918321432066,1.8255578093306288
10347,2030,21826,2020-04-08,34,16,1267.0,961,Punjab,713,1853.0,9.300833867864016,0.7881773399014778
3068,527,2262,2020-04-08,70,18,242.0,52,KP,197,159.0,23.297966401414676,3.415559772296015
534,19,534,2020-04-08,1,0,0.0,50,AJK,18,50.0,3.5580524344569286,0.0
1175,212,1127,2020-04-08,15,3,180.0,64,GB,14,112.0,18.81100266193434,1.4150943396226416
3549,206,3091,2020-04-08,75,2,52.0,93,Balochistan,77,93.0,6.664509867356842,0.9708737864077669
3096,92,3096,2020-04-08,3,1,71.0,175,ICT,17,175.0,2.9715762273901807,1.0869565217391304
3322,560,2662,2020-04-09,74,20,298.0,254,KP,168,400.0,21.036814425244177,3.571428571428571
11741,2171,23080,2020-04-09,35,17,1367.0,1394,Punjab,752,1254.0,9.406412478336222,0.7830492860432979
10981,1036,10981,2020-04-09,280,20,382.0,758,Sindh,354,758.0,9.434477734268281,1.9305019305019304
3233,102,3233,2020-04-09,10,1,80.0,137,ICT,11,137.0,3.1549644293226105,0.9803921568627451
3709,212,3216,2020-04-09,76,2,57.0,160,Balochistan,77,125.0,6.592039800995026,0.9433962264150944
581,28,581,2020-04-09,1,0,0.0,47,AJK,27,47.0,4.819277108433735,0.0
1211,213,1143,2020-04-09,96,3,100.0,36,GB,14,16.0,18.635170603674542,1.4084507042253522
13720,2279,31535,2020-04-10,39,18,1477.0,1979,Punjab,745,1123.0,7.226890756302522,0.7898200965335673
3687,620,2871,2020-04-10,128,22,269.0,365,KP,201,209.0,21.59526297457332,3.5483870967741935
3375,107,3375,2020-04-10,10,1,78.0,142,ICT,18,142.0,3.1703703703703705,0.9345794392523363
11623,1128,11623,2020-04-10,349,21,436.0,642,Sindh,322,642.0,9.704895465886604,1.8617021276595744
4009,219,3405,2020-04-10,89,1,59.0,300,Balochistan,70,189.0,6.431718061674009,0.45662100456621
631,33,631,2020-04-10,1,0,0.0,50,AJK,32,50.0,5.229793977812995,0.0
1334,215,1266,2020-04-10,111,3,87.0,123,GB,14,123.0,16.982622432859397,1.3953488372093024
745,34,745,2020-04-11,1,0,0.0,114,AJK,33,114.0,4.563758389261745,0.0
4109,220,3694,2020-04-11,95,1,56.0,100,Balochistan,68,289.0,5.955603681645912,0.45454545454545453
1424,215,1334,2020-04-11,125,3,70.0,90,GB,17,68.0,16.116941529235383,1.3953488372093024
3480,113,3480,2020-04-11,13,1,84.0,105,ICT,15,105.0,3.247126436781609,0.8849557522123894
3768,656,3046,2020-04-11,131,25,299.0,81,KP,201,175.0,21.53644123440578,3.8109756097560976
15850,2336,33328,2020-04-11,39,19,1514.0,2130,Punjab,764,1120.0,7.009121459433509,0.8133561643835616
12209,1214,12209,2020-04-11,358,22,521.0,586,Sindh,313,586.0,9.943484314849702,1.8121911037891267
4232,697,3259,2020-04-12,142,31,314.0,464,KP,210,213.0,21.38692850567659,4.447632711621234
18520,2425,36199,2020-04-12,258,21,1381.0,2670,Punjab,765,1711.0,6.699080085085224,0.865979381443299
3570,119,3570,2020-04-12,13,1,88.0,90,ICT,17,90.0,3.3333333333333335,0.8403361344537815
12740,1318,12740,2020-04-12,371,28,576.0,531,Sindh,343,531.0,10.345368916797488,2.12443095599393
4099,228,3812,2020-04-12,95,2,70.0,83,Balochistan,62,118.0,5.981112277019937,0.8771929824561403
1488,216,1408,2020-04-12,146,3,58.0,64,GB,9,74.0,15.340909090909092,1.3888888888888888
813,35,813,2020-04-12,1,0,0.0,68,AJK,34,68.0,4.305043050430505,0.0
910,40,910,2020-04-13,2,0,0.0,97,AJK,38,97.0,4.395604395604396,0.0
4222,230,3906,2020-04-13,123,2,65.0,123,Balochistan,40,94.0,5.888376856118792,0.8695652173913043
1553,224,1476,2020-04-13,149,3,63.0,65,GB,9,68.0,15.176151761517614,1.3392857142857142
3836,131,3836,2020-04-13,15,1,91.0,266,ICT,24,266.0,3.4150156412930137,0.7633587786259541
4305,744,3478,2020-04-13,145,34,354.0,73,KP,211,219.0,21.391604370327773,4.56989247311828
19395,2594,38199,2020-04-13,272,23,1467.0,875,Punjab,832,1920.0,6.790753684651431,0.8866615265998458
13309,1411,13309,2020-04-13,389,30,645.0,569,Sindh,347,569.0,10.601848373281237,2.1261516654854713
13840,1452,13840,2020-04-14,419,31,648.0,531,Sindh,354,531.0,10.491329479768787,2.1349862258953167
21885,2826,41781,2020-04-14,508,24,1592.0,2490,Punjab,702,1925.0,6.763840022976951,0.8492569002123143
4783,800,3793,2020-04-14,153,35,401.0,478,KP,211,315.0,21.091484313208543,4.375
992,43,992,2020-04-14,4,0,0.0,82,AJK,39,82.0,4.334677419354839,0.0
1644,233,1563,2020-04-14,155,3,66.0,91,GB,9,87.0,14.90722968650032,1.2875536480686696
4341,231,4012,2020-04-14,124,2,71.0,119,Balochistan,34,106.0,5.757726819541375,0.8658008658008658
3947,131,3947,2020-04-14,15,1,96.0,111,ICT,19,111.0,3.3189764378008615,0.7633587786259541
24726,2945,43565,2020-04-15,508,28,1650.0,2841,Punjab,759,1959.0,6.760013772523815,0.9507640067911713
14503,1518,14503,2020-04-15,427,35,613.0,663,Sindh,443,663.0,10.4667999724195,2.30566534914361
5088,865,4151,2020-04-15,178,38,438.0,305,KP,211,358.0,20.838352204288125,4.393063583815029
4473,140,4473,2020-04-15,17,1,106.0,120,ICT,16,120.0,3.1298904538341157,0.7142857142857143
